date,asset,fund_bybit,fund_okx,fund_deribit,fund_hl,fund_mean,cefdi,n_venues,oi_total_usd,oi_chg_pct,ofpr
2026-05-24,BTC,4.4424150000000004,7.073760260313749,-0.02555033108477322,,3.830208309742992,3.5890319714349705,3,,,
2026-05-24,ETH,3.4393949999999998,2.7354697305408,0.40017319481823527,,2.1916793084530117,1.5909111579968527,3,,,
2026-05-25,BTC,2.0881649999999996,2.550129175959,-0.005661043710073181,,1.5442110440829755,1.3619582744553362,3,,,
2026-05-25,ETH,5.625014999999999,6.02407065903195,-0.010919534584114422,,3.8793887081492784,3.375008892189899,3,,,
2026-05-26,BTC,4.39533,5.7412397586495,0.1217989232083768,,3.419456227285959,2.934071580749038,3,,,
2026-05-26,ETH,6.351,3.7714529506719003,-0.0015738655671703845,,3.3736263617015765,3.1949175537939283,3,,,
2026-05-27,BTC,1.6501649999999999,5.89462002776685,2.264091430094245,,3.269625485953698,2.293942822697134,3,,,
2026-05-27,ETH,1.312905,9.7867880667588,1.525677688069899,,4.208456918276234,4.8321477477199775,3,,,
2026-05-28,BTC,3.951855,10.6595188595715,1.119842541621259,,5.243738800397587,4.899293712170404,3,,,
2026-05-28,ETH,-2.269935,10.95,4.0059391431302265,,4.228668047710075,6.6127812964559585,3,,,
2026-05-29,BTC,10.95,9.007619595187949,0.0021216355643136316,,6.65324707691742,5.841345105085846,3,,,
2026-05-29,ETH,5.1684,10.95,4.623531257858809,,6.913977085952936,3.505899486376548,3,,,
2026-05-30,BTC,7.64967,3.0326259051213,2.452282276681241,,4.378192727267514,2.848003220024801,3,,,
2026-05-30,ETH,2.197665,7.7372387889631495,3.12125125027874,,4.352051679747296,2.9678058753440855,3,,,
2026-05-31,BTC,8.05482,-0.29074669449585,0.3310786918115229,,2.698383999105224,4.649217318702718,3,,,
2026-05-31,ETH,10.372935,5.36093499704535,7.946296560064157,,7.893388852369836,2.5064188449966727,3,,,
2026-06-01,BTC,4.7840549999999995,5.1130330626774,0.08000957007818502,,3.325699210918528,2.8156584620519016,3,,,
2026-06-01,ETH,8.19498,10.95,2.3776821703829234,,7.174220723460974,4.376370684536796,3,,,
2026-06-02,BTC,10.95,10.95,-1.7151679271689333,,6.728277357610355,7.312238112082798,3,,,
2026-06-02,ETH,10.95,10.95,0.03131659958458037,,7.310438866528193,6.303904800426141,3,,,
2026-06-03,BTC,0.73146,9.479183678490601,-0.9606119305577862,,3.083343915977605,5.6032001173750805,3,,,
2026-06-03,ETH,-0.52779,5.68617942271755,7.491535380321617,,4.216641601013055,4.206786296679759,3,,,
2026-06-04,BTC,-0.49493999999999994,10.80889633544955,-0.003508794644260775,,3.4368158469350965,6.389135638273066,3,,,
2026-06-04,ETH,7.3113150000000005,8.0265137491251,1.868400036917533,,5.735409595347544,3.3679666724047803,3,,,
